,Song,Artist,Brand,Streams
173,Under Pressure - Remastered 2011,Gerald Haywood,Louis Vuitton,8263700.0
174,Under Pressure - Remastered 2011,Gerald Haywood,Marc jacob,8263700.0
175,Under Pressure - Remastered 2011,Gerald Haywood,Marc jacob,8263700.0
176,Chrome Heart Tags,Lil Uzi Vert,Louis Vuitton,8187058.0
177,She Bad,Cardi B & YG,Louis Vuitton,7722734.0
178,She Bad,Cardi B & YG,Fendi,7722734.0
179,She Bad,Cardi B & YG,Birkin,7722734.0
180,WIFI LIT,Future,Hermes,7413924.0
181,D4L,"Future, Drake & Young Thug",Louis Vuitton,7368973.0
182,D4L,"Future, Drake & Young Thug",Louis Vuitton,7368973.0
183,1.5,21 Savage,Fendi,6986012.0
184,GATTI,"JACKBOYS, Pop Smoke & Travis Scott",Louis Vuitton,6974829.0
185,Open Safe,Lil Wayne,Dom Perignon,6853673.0
186,Hold On,Lil Tjay,Hennessey,6777018.0
187,Feed Me Dope,Future,Hermes,6711533.0
188,Kids See Ghosts,KIDS SEE GHOSTS,Christian dior,6643595.0
189,All For Us - from the HBO Original Series Euphoria,Spotify,Louis Vuitton,6354772.0
190,All For Us - from the HBO Original Series Euphoria,Spotify,Christian dior,6354772.0
191,All For Us - from the HBO Original Series Euphoria,Spotify,Christian dior,6354772.0
192,Costa Rica,Bankrol Hayden,Louis Vuitton,6322474.0
193,love language,Ariana Grande,Givenchy,6194224.0
194,Omertà,Drake,Hennessey,6153687.0
195,Omertà,Drake,Tiffany,6153687.0
196,YO VISTO ASÍ,Bad Bunny,Louis Vuitton,6008656.0
197,YO VISTO ASÍ,Bad Bunny,Louis Vuitton,6008656.0
198,Skateboard P,MadeinTYO,Louis Vuitton,5791253.0
199,Only The Young - Featured in Miss Americana,Spotify,Louis Vuitton,5687567.0
200,Only The Young - Featured in Miss Americana,Spotify,Tiffany,5687567.0
201,25/8,Bad Bunny,Louis Vuitton,5622581.0
202,25/8,Bad Bunny,Louis Vuitton,5622581.0
203,La Zona,Bad Bunny,Louis Vuitton,5585274.0
204,La Zona,Bad Bunny,Louis Vuitton,5585274.0
205,You & Me,Marc E. Bassy,Marc jacob,5546757.0
206,24,Money Man,Louis Vuitton,5361670.0
207,Shotta Flow 3,NLE Choppa,Hennessey,5289277.0
208,Shotta Flow 3,NLE Choppa,Fendi,5289277.0
209,44 BullDog,Pop Smoke,Fendi,5194565.0
210,Brown Paper Bag,Migos,Hennessey,5071109.0
211,Jumpin on a Jet,Future,Fendi,4779254.0
212,"Fire On Fire - From ""Watership Down""",Radio Hamburg,Louis Vuitton,4686087.0
213,"Fire On Fire - From ""Watership Down""",Radio Hamburg,Marc jacob,4686087.0
214,Deep Pockets,Drake,Fendi,4546356.0
215,SMASH! - feat. PnB Rock,Genius Traductions Françaises,Louis Vuitton,4497660.0
216,I'll Be Home For Christmas - Single Version,Frank McCourt,Louis Vuitton,4421220.0
217,I'll Be Home For Christmas - Single Version,Frank McCourt,Christian dior,4421220.0
218,False Alarm,The Weeknd,Hennessey,4417555.0
219,Lotus,Lil Uzi Vert,Louis Vuitton,4250998.0
220,Realer N Realer,Future & Juice WRLD,Louis Vuitton,4208383.0
221,Realer N Realer,Future & Juice WRLD,Christian dior,4208383.0
222,FEEFA,6ix9ine,Christian dior,4127927.0
223,Please Come Home for Christmas - 2013 Remaster,Daniel Defoe,Christian dior,4123538.0
224,SICKO MODE - Skrillex Remix,Travis Scott,Louis Vuitton,4091048.0
225,i Shyne,Carnage & Lil Pump,Louis Vuitton,4086828.0
226,i Shyne,Carnage & Lil Pump,Fendi,4086828.0
227,Before I Let Go - Homecoming Live Bonus Track,Spotify,Christian dior,4044478.0
228,Before I Let Go - Homecoming Live Bonus Track,Spotify,Dom Perignon,4044478.0
229,Racks 2 Skinny,Migos,Birkin,3981695.0
230,Disrespectful,"21 Savage, Offset & Metro Boomin",Louis Vuitton,3867326.0
231,War,Drake,Lv,3795496.0
232,Self-Made,Bryson Tiller,Birkin,3691359.0
233,PA' ROMPERLA,Bad Bunny & Don Omar,Louis Vuitton,3690765.0
234,Black Barbies,Nicki Minaj & Mike WiLL Made-It,Christian dior,3648691.0
235,Formation,Beyoncé,Givenchy,3629640.0
236,Broke As Fuck,Cordae,Fendi,3567647.0
237,Bad Business,21 Savage,Hennessey,3526276.0
238,Sick and Tired,​iann dior,Christian dior,3523219.0
239,Brand New Draco,21 Savage & Metro Boomin,Fendi,3514669.0
240,Zoom,Future,Hublot,3446306.0
241,The Pale Moonlight,Kid Cudi,Hennessey,3352112.0
242,B.I.D,Tory Lanez,Louis Vuitton,3265739.0
243,B.I.D,Tory Lanez,Hennessey,3265739.0
244,B.I.D,Tory Lanez,Hennessey,3265739.0
245,Astronauts,Future & Juice WRLD,Louis Vuitton,3178346.0
246,Astronauts,Future & Juice WRLD,Birkin,3178346.0
247,Astronauts,Future & Juice WRLD,Louis Vuitton,3178346.0
248,Astronauts,Future & Juice WRLD,Hermes,3178346.0
249,Yea Yea,Pop Smoke,Christian dior,3086658.0
250,Yea Yea,Pop Smoke,Christian dior,3086658.0
251,XXL,DaBaby,Louis Vuitton,3076771.0
252,XXL,DaBaby,Louis Vuitton,3076771.0
253,Over Your Head,Future & Lil Uzi Vert,Christian dior,3068902.0
254,Sasuke,Lil Uzi Vert,Givenchy,3060212.0
255,Childs Play,Drake,Louis Vuitton,3038040.0
256,FaceTime,21 Savage,Hennessey,3007717.0
257,We Will Rock You - Remastered,Gerald Haywood,Louis Vuitton,2991198.0
258,We Will Rock You - Remastered,Gerald Haywood,Marc jacob,2991198.0
259,We Will Rock You - Remastered,Gerald Haywood,Marc jacob,2991198.0
